"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-01","14.54",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","20","H,,S","32",",,W","14",",,W","  240",",,W","  250",",,W","23.9",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-02","4.70",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","26","H,,S","34",",,W","15",",,W","  150",",,W","  150",",,W","12.1",",,W","13.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-03","5.59",",,W",,,"0.57",",,W,2400","0.4",",,W","0.0",",,W,2400","31","H,,S","34",",,W","29",",,W","  140",",,W","  140",",,W","13.0",",,W","14.1",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-04","15.88",",,W",,,"0.13",",,W,2400","2.2",",,W","1.2",",,W,2400","29","H,,S","33",",,W","2",",,W","  320",",,W","  320",",,W","25.9",",,W","31.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-05","10.29",",,W",,,"0.15",",,W,2400","1.8",",,W","2.0",",,W,2400","2","H,,S","6",",,W","-3",",,W","  310",",,W","  310",",,W","21.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-06","13.87",",,W",,,"0.01",",,W,2400","0.2",",,W","3.9",",,W,2400","5","H,,S","10",",,W","-5",",,W","  270",",,W","  280",",,W","23.9",",,W","30.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-07","17.45",",,W",,,"0.00",",,W,2400","0.0",",,W","3.1",",,W,2400","3","H,,S","6",",,W","-6",",,W","  330",",,W","  320",",,W","28.0",",,W","33.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-08","17.67",",,W",,,"0.06",",,W,2400","3.0",",,W","3.1",",,W,2400","-2","H,,S","18",",,W","-8",",,W","  300",",,W","  300",",,W","28.0",",,W","38.9",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-09","16.55",",,W",,,"0.00","T,,W,2400","0.0","T,,W","5.1",",,W,2400","8","H,,S","11",",,W","0",",,W","  330",",,W","  330",",,W","30.0",",,W","38.0",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2015-01-10","11.63",",,W",,,"0.00",",,W,2400","0.0",",,W","3.9",",,W,2400","5","H,,S","24",",,W","-2",",,W","  180",",,W","  190",",,W","21.9",",,W","27.1",",,W",,,,,,,,,,,,,,,,
